Product,Region,Year,Sales
Roomba i7+,Europe - Eastern,2021,1706.2
Samsung QLED TV,Oceania - Australia,2019,4881.05
Pottery Barn Dining Table,Africa - Southern,2023,6608.52
Microsoft Surface Pro,Europe - Northern,2024,15022.46
Nike Air Force 1,Latin America - Southern,2020,108.36
AirPods Pro,Africa - Eastern,2021,1040.31
Sony WH-1000XM5,Latin America - Northern,2023,1840.88
Dell XPS 13,Latin America - Central,2022,4729.9
Ray-Ban Aviators,Middle East - Gulf,2022,681.27
LG OLED TV,Africa - Western,2023,6230.47
Xbox Series X,Latin America - Southern,2019,983.13
Apple Watch Series 8,Oceania - Australia,2020,1218.62
Pottery Barn Dining Table,Africa - Western,2024,3086.83
KitchenAid Mixer,Middle East - Gulf,2024,4089.63
Levi's 501 Jeans,Latin America - Northern,2022,207.46
Dell XPS 13,Europe - Southern,2023,1281.34
Xbox Series X,Europe - Eastern,2020,915.12
Microsoft Surface Pro,Middle East - Gulf,2021,1205.46
Lululemon Align Leggings,Europe - Western,2024,434.32
MacBook Air M2,North America - East,2019,8801.12
Rolex Submariner,North America - East,2019,5220.72
MacBook Air M2,Latin America - Southern,2019,2503.97
KitchenAid Mixer,North America - Central,2023,3919.72
Ninja Air Fryer,Latin America - Northern,2019,121.74
iPad Pro,Middle East - Gulf,2019,4836.43
Rolex Submariner,Middle East - Gulf,2022,12891.42
Xbox Series X,Asia - Eastern,2021,3860.24
GoPro Hero 11,Africa - Western,2023,2111.29
Pottery Barn Dining Table,Oceania - New Zealand,2022,9999.74
Lululemon Align Leggings,Oceania - Australia,2023,159.39
West Elm Sofa,North America - East,2024,19730.06
Pottery Barn Dining Table,North America - Central,2019,3356.98
iPhone 14 Pro,Africa - Southern,2024,2903.39
Instant Pot Pro,Asia - Southern,2020,198.48
West Elm Sofa,Europe - Southern,2019,7442.03
Tempur-Pedic Mattress,Asia - Southeastern,2020,4118.67
Instant Pot Pro,Europe - Northern,2020,850.64
Xbox Series X,Latin America - Southern,2024,3262.94
AirPods Pro,North America - West,2022,2547.81
Apple Watch Series 8,Europe - Western,2024,300.81
Adidas Ultraboost,Africa - Eastern,2024,134.59
Canon EOS R6,Europe - Southern,2019,12435.51
Instant Pot Pro,Middle East - Gulf,2021,728.53
KitchenAid Mixer,Latin America - Central,2019,349.91
Apple Watch Series 8,Oceania - New Zealand,2021,239.91
Apple Watch Series 8,North America - Central,2021,1594.27
Google Pixel 7,North America - East,2024,4206.18
LG OLED TV,Europe - Southern,2021,1782.96
Nespresso Vertuo,Africa - Western,2022,117.48
Herman Miller Chair,Asia - Southern,2020,3277.11
Levi's 501 Jeans,Latin America - Northern,2023,152.46
Nike Air Force 1,Middle East - Levant,2020,234.07
Nintendo Switch OLED,Oceania - Australia,2021,410.41
Herman Miller Chair,Asia - Eastern,2022,3744.74
Nintendo Switch OLED,Europe - Southern,2021,1623.97
Nespresso Vertuo,Africa - Eastern,2019,488.02
KitchenAid Mixer,Asia - Eastern,2024,2841.08
Instant Pot Pro,Africa - Southern,2020,427.19
Roomba i7+,Latin America - Southern,2024,3150.95
GoPro Hero 11,North America - West,2019,2590.12
Pottery Barn Dining Table,Latin America - Southern,2021,3371.39
Ray-Ban Aviators,Europe - Southern,2023,461.05
Rolex Submariner,Latin America - Southern,2023,25840.26
MacBook Air M2,Asia - Southern,2023,10835.22
iPad Pro,Middle East - Gulf,2023,4696.2
Samsung QLED TV,Europe - Eastern,2023,9187.86
iPhone 14 Pro,Europe - Northern,2022,7545.63
Google Pixel 7,Europe - Southern,2022,3447.78
Lululemon Align Leggings,Oceania - Australia,2022,146.71
Nespresso Vertuo,Europe - Southern,2022,638.72
Ray-Ban Aviators,Africa - Western,2020,178.19
Ninja Air Fryer,Middle East - Gulf,2020,725.33
Ninja Air Fryer,Europe - Western,2023,1253.41
AirPods Pro,Asia - Southern,2019,380.81
Google Pixel 7,Asia - Southeastern,2022,4187.5
Xbox Series X,Asia - Eastern,2022,463.01
Roomba i7+,Europe - Northern,2019,3440.94
LG OLED TV,Europe - Northern,2023,7058.14
Microsoft Surface Pro,Europe - Southern,2019,923.95
Lululemon Align Leggings,North America - Central,2024,563.53
GoPro Hero 11,Europe - Southern,2021,1011.77
Adidas Ultraboost,Latin America - Southern,2019,346.01
Levi's 501 Jeans,North America - East,2022,558.27
Microsoft Surface Pro,Oceania - Australia,2020,10759.97
Levi's 501 Jeans,North America - West,2021,81.55
Samsung Galaxy S23,Africa - Southern,2022,702.33
Dell XPS 13,Europe - Eastern,2019,2891.61
Nike Air Force 1,Oceania - Australia,2022,70.74
Apple Watch Series 8,Latin America - Northern,2023,645.59
Sony WH-1000XM5,Africa - Southern,2023,2708.31
Samsung Galaxy S23,Latin America - Southern,2020,1829.47
West Elm Sofa,North America - West,2020,6633.13
Canon EOS R6,North America - West,2020,11157.9
Samsung Galaxy S23,Middle East - Levant,2019,3402.95
Ninja Air Fryer,Middle East - Gulf,2022,1026.48
Levi's 501 Jeans,Asia - Eastern,2022,57.94
Nespresso Vertuo,Europe - Southern,2024,356.26
Ninja Air Fryer,Europe - Southern,2022,882.98
Samsung QLED TV,Middle East - Levant,2020,3700.66
AirPods Pro,Africa - Western,2020,1308.41
Levi's 501 Jeans,Oceania - Australia,2022,278.75
Dyson V11 Vacuum,Africa - Western,2019,1131.66
Xbox Series X,Africa - Eastern,2019,869.78
Canon EOS R6,Asia - Eastern,2020,10365.3
iPad Pro,Asia - Southern,2024,2671.5
Instant Pot Pro,Middle East - Levant,2021,717.65
Lululemon Align Leggings,Europe - Western,2022,72.63
iPad Pro,Europe - Western,2023,6997.0
West Elm Sofa,Africa - Western,2024,8208.34
GoPro Hero 11,Africa - Eastern,2024,2729.07
Google Pixel 7,Europe - Eastern,2020,3711.63
Samsung Galaxy S23,Africa - Eastern,2023,1883.54
Dyson V11 Vacuum,North America - Central,2021,3151.99
Breville Coffee Maker,Africa - Southern,2019,1028.34
iPhone 14 Pro,Africa - Western,2020,3904.7
Instant Pot Pro,Middle East - Gulf,2021,728.53
Pottery Barn Dining Table,Latin America - Southern,2021,3371.39
Lululemon Align Leggings,Oceania - New Zealand,2020,286.63
Nespresso Vertuo,Latin America - Southern,2021,644.04
Adidas Ultraboost,Europe - Northern,2022,486.7
Dyson V11 Vacuum,Latin America - Southern,2022,2444.2
Xbox Series X,Oceania - Australia,2021,2198.06
AirPods Pro,Latin America - Northern,2022,189.71
iPad Pro,Europe - Eastern,2020,4680.08
Vitamix Blender,Middle East - Levant,2020,1041.11
Breville Coffee Maker,North America - East,2023,1688.78
Google Pixel 7,Africa - Western,2022,2427.74
iPad Pro,Oceania - New Zealand,2022,2095.0
AirPods Pro,Asia - Southeastern,2022,670.65
Levi's 501 Jeans,North America - Central,2024,660.0
Microsoft Surface Pro,Latin America - Central,2023,1578.78
Apple Watch Series 8,Middle East - Gulf,2020,1021.25
Microsoft Surface Pro,Europe - Southern,2019,923.95
Ninja Air Fryer,Africa - Western,2023,518.53
